               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              0.0543,            0.022986,           0.0096999,             0.55765,             0.44895,             0.45318,             0.17279,            0.061509,            0.022552,            0.012996,           0.0071125,           0.0071125,           0.0071125
                  37,             0.05471,            0.022415,           0.0094579,              0.5471,             0.46394,             0.47167,              0.1835,             0.05946,            0.021642,            0.012957,             0.00703,             0.00703,             0.00703
                  38,            0.053582,            0.022692,           0.0092216,             0.50117,             0.47068,             0.46984,             0.18629,            0.060284,            0.022166,            0.013011,           0.0069475,           0.0069475,           0.0069475
                  39,            0.053584,            0.022094,           0.0093199,             0.49653,             0.44824,             0.45232,             0.17596,            0.060997,             0.02275,            0.011599,            0.006865,            0.006865,            0.006865
                  40,            0.053389,            0.023044,           0.0090525,             0.56748,             0.44769,             0.47247,             0.18574,            0.059624,            0.022197,            0.011645,           0.0067825,           0.0067825,           0.0067825
                  41,            0.053478,            0.022435,           0.0091308,             0.56669,             0.47981,              0.4578,             0.18814,            0.062009,            0.022526,            0.014031,              0.0067,              0.0067,              0.0067
                  42,            0.053132,            0.022495,           0.0088143,             0.59884,             0.44277,             0.46803,             0.17584,            0.062129,            0.022308,             0.01402,           0.0066175,           0.0066175,           0.0066175
                  43,             0.05269,            0.022102,           0.0086472,             0.54439,             0.44985,             0.46007,             0.18179,             0.06042,            0.023006,            0.011089,            0.006535,            0.006535,            0.006535
                  44,            0.052228,            0.022961,           0.0087012,             0.54145,             0.49021,             0.47621,             0.18225,            0.062677,             0.02249,            0.011795,           0.0064525,           0.0064525,           0.0064525
                  45,            0.052379,            0.022707,           0.0085953,             0.49271,             0.44004,             0.44324,             0.17651,            0.061281,             0.02406,            0.013462,             0.00637,             0.00637,             0.00637
                  46,            0.052185,             0.02217,           0.0087457,             0.46039,             0.46947,             0.44994,             0.17922,            0.061884,            0.023739,             0.01273,           0.0062875,           0.0062875,           0.0062875
                  47,            0.052006,            0.021992,           0.0084938,             0.56583,             0.45815,             0.49087,             0.20139,            0.059685,            0.022115,            0.011318,            0.006205,            0.006205,            0.006205
                  48,            0.051424,             0.02184,           0.0078984,             0.59568,             0.47293,             0.47962,             0.19345,            0.062454,            0.022656,             0.01292,           0.0061225,           0.0061225,           0.0061225
                  49,            0.052074,            0.022095,           0.0081381,             0.50827,             0.49359,             0.47725,             0.18828,            0.061439,            0.023145,            0.011793,             0.00604,             0.00604,             0.00604
